Rank,UCI ID,Name,Nationality,Team Code,Age,Points
263,10006472813,BREEN Vegard,NORWAY,TJM,22,57
264,10003214724,KUSZTOR Péter,HUNGARY,ARH,28,57
265,10002538350,JOVANOVIĆ Nebojša,SERBIA,,29,57
266,10002630502,MIRONOV Aleksandr,RUSSIAN FEDERATION,RVL,28,57
267,10006599519,BENNETT Sam,IRELAND,SKT,22,57
268,10005675692,ASADOV Elchin,AZERBAIJAN,SCS,25,56
269,10005698429,HANSON Ken,UNITED STATES OF AMERICA,OPT,30,56
270,10005608402,MEENHORST Alex,NEW ZEALAND,CCD,25,56
271,10003300711,LHOTELLERIE Clément,FRANCE,CMD,26,56
272,10003272621,AVERY Clinton Robert,NEW ZEALAND,CSS,25,56
273,10005844535,BESSY Cyril,FRANCE,SAU,26,56
274,10002761349,LANG Pirmin,SWITZERLAND,ARH,28,56
275,10002377490,FLAHAUT Denis,FRANCE,RLM,34,56
276,10005979830,FONSECA Armindo,FRANCE,BSC,23,56
277,10003052046,JACOBS Pieter,BELGIUM,TSV,26,56
278,10002489749,FAILLI Francesco,ITALY,FAR,29,"55,4"
279,10004600713,CIOBAN Sergiu,REPUBLIC OF MOLDOVA,TCT,24,55
280,10006581836,PAILLOT Yoann,FRANCE,,21,55
281,10002058202,BUCHÁČEK Tomáš,CZECH REPUBLIC,WHI,34,54
282,10007527584,LIEPINS Emils,LATVIA,RBD,20,54
283,10002941205,GENE Yohann,FRANCE,EUC,31,54
284,10004595659,DEMPSTER Zakkari,AUSTRALIA,EDR,25,"53,45"
285,10003367092,MESTRE Ricardo,PORTUGAL,PRT,29,53
286,10003224020,KOSYAKOV Dmitriy,RUSSIAN FEDERATION,TIK,26,53
287,10006918710,PRISHPETNYY Alexandr,RUSSIAN FEDERATION,TIK,25,53
288,10009340373,DE MAAR Marc,NETHERLANDS,UHC,28,53
289,10006916080,ATAPUMA HURTADO Jhon Darwin,COLOMBIA,COL,24,53
290,10007252045,DANIEL Maxime,FRANCE,,21,52
291,10006484533,VAN HOECKE Gijs,BELGIUM,TSV,21,52
292,10001380515,GALDOS ALONSO Aitor,SPAIN,CJR,33,52
293,10007169593,TE BRAKE Remco,NETHERLANDS,RIJ,24,52
294,10004501891,FRAPPORTI Marco,ITALY,IDE,27,52
295,10003310714,KNEISKY Morgan,FRANCE,RLM,25,51
296,10002481160,RUJANO GUILLEN José,BOLIVARIAN REPUBLIC OF VENEZUELA,,30,"50,6"
297,10006494637,KOZOMARA Nikola,SERBIA,,21,50
298,10005971241,DAVID Tom,NEW ZEALAND,PCW,22,50
299,10005963864,FIUMANA Thomas,ITALY,,22,50
300,10006877987,AYAZBAYEV Maxat,KAZAKHSTAN,AS2,20,50
301,10007497171,LECUISINIER Pierre Henri,FRANCE,,19,50
302,10006636396,ROSTOLLAN Thomas,FRANCE,,26,50
303,10004610312,BAJC Andi,SLOVENIA,SLC,24,50
304,10004864734,MCEVOY Jonathan,GREAT BRITAIN,EDR,23,50
305,10002436195,CHARTEAU Anthony,FRANCE,EUC,33,50
306,10001322921,MIHOLJEVIĆ Vladimir,CROATIA,ASA,38,"49,2"
307,10003271510,NADIRADZE Giorgi,GEORGIA,,25,48
308,10003180873,HRISTOV Stefan,BULGARIA,,27,48
309,10007062388,PÖSTLBERGER Lukas,AUSTRIA,RAD,20,48
310,10002727296,BENETSEDER Josef,AUSTRIA,VBG,29,48
311,10002735279,DÉR Zsolt,SERBIA,,29,48
312,10007518591,FORMOLO Davide,ITALY,,20,47
313,10002427711,NOSE Tomaz,SLOVENIA,ADR,30,47
314,10003596559,DELFOSSE Sébastien,BELGIUM,LAN,30,47
315,10005383076,ANTONOV Mikhail,RUSSIAN FEDERATION,LOK,26,47
316,10003097314,GAUDIN Damien,FRANCE,EUC,26,47
317,10003421555,ANDERSON Ryan,CANADA,SPI,25,47
318,10006463719,NECHITA Andrei,ROMANIA,,24,46
319,10002883712,FANKHAUSER Clemens,AUSTRIA,TIR,27,46
320,10061470395,THOME Kévin,BELGIUM,,23,46
321,10007133827,LAVERY Philip,IRELAND,NGR,22,46
322,10001288969,FÖRSTER Robert,GERMANY,UHC,34,46
323,10004620113,PAĎOUR FrantišEk,CZECH REPUBLIC,WHI,24,45
324,10049906480,JULES Justin,FRANCE,VRU,26,45
325,10002480655,SERPA PEREZ Jose Rodolfo,COLOMBIA,AND,33,"44,8"
326,10006421077,FEJES Gábor,HUNGARY,,23,44
327,10005477248,MATHEOU Romain,FRANCE,VRU,24,44
328,10002721236,CARDOSO Filipe,PORTUGAL,EFG,28,44
329,10005865046,VAN HOECKE Justin,BELGIUM,WBC,23,44
330,10003273833,MALACARNE Davide,ITALY,EUC,25,44
331,10006064504,QUAADE Rasmus Christian,DENMARK,BWC,22,43
332,10005575359,DAENINCK Benoit,FRANCE,,31,43
333,10005852013,DESRIAC Loic,FRANCE,RLM,23,43
334,10006919316,GONÇALVES José,PORTUGAL,BOA,23,43
335,10005548380,FEILLU Brice,FRANCE,SAU,27,43
336,10005413994,MARTYNENKO Oleksandr,UKRAINE,ISD,23,"42,4"
337,10006003775,PRÉMONT Christophe,BELGIUM,WBC,23,42
338,10003037494,CIESLIK Pawel,POLAND,BGZ,26,42
339,10005843929,BUDARAGIN Alexander,RUSSIAN FEDERATION,,26,42
340,10008033402,ISGANDAROV Tural,AZERBAIJAN,SCS,20,"41,5"
341,10006564860,SEPULVEDA Eduardo,ARGENTINA,,21,41
342,10003226747,JOEÄÄR Gert,ESTONIA,,25,41
343,10004520685,PAIANI Jean Lou,FRANCE,SAU,24,41
344,10003205933,GRETSCH Patrick,GERMANY,ARG,25,41
345,10008901550,KRAINER Franz,FRANCE,,21,40
346,10007519504,HOELGAARD Daniel,NORWAY,,19,40
347,10004572825,HAČECKÝ Martin,CZECH REPUBLIC,ADP,24,40
348,10007466859,MILETTA Luigi,ITALY,,24,40
349,10005760063,ROGERS* Rico Dene Thomas,NEW ZEALAND,NGR,34,40
350,10002902001,STEVENSSON Christofer,SWEDEN,UKY,30,40
351,10001148422,KADLEC Milan,CZECH REPUBLIC,ADP,35,40
352,10006490088,SIPOS Zoltan,ROMANIA,,21,40
353,10005307092,DRAKAKIS Ioannis,GREECE,,25,40
354,10006915878,KAL Mirac,TURKEY,KTS,25,40
355,10008694517,SERGEEV Oleg,ISRAEL,,21,40
356,10006904057,SIMION Paolo,ITALY,,20,40
357,10005501904,BOCCHIOLA Giorgio,ITALY,,23,40
358,10002310604,VAN HECKE Preben,BELGIUM,TSV,30,40
358,10005354380,STEVENS Timothy,BELGIUM,,23,40
358,10005482096,GORODNICHEV Ilya,RUSSIAN FEDERATION,,25,40
361,10005875857,JANSSENS Jimmy,BELGIUM,,23,40
362,10007503942,NOWAK Mateusz,POLAND,,20,40
363,10005864844,CLAUSEN Patrick,DENMARK,GLU,22,40
364,10025297479,DUQUE Leonardo,COLOMBIA,COF,32,40
365,10003242006,PACHECO TORRES Francisco Jose,SPAIN,TKT,30,40
366,10003301620,KLUGE Roger,GERMANY,ARG,26,40
367,10001576030,KOZUBEK Stanislav,CZECH REPUBLIC,WHI,32,40
368,10006006506,LIETAER Eliot,BELGIUM,TSV,22,40
369,10005416321,THOMSON Jay Robert,SOUTH AFRICA,,26,40
370,10002944538,BOSISIO Gabriele,ITALY,UNA,32,"39,4"
371,10004451775,MEGIAS LEAL Javier,SPAIN,TT1,29,39
372,10005429152,MATZKA Ralf,GERMANY,TET,23,39
373,10005479369,ANDERSSON Lars,SWEDEN,VPC,24,38
374,10008656020,CHAMORRO CHITAN Juan Ernesto,COLOMBIA,,21,38
375,10003306569,POLIVODA Oleksandr,UKRAINE,,25,38
376,10005572834,PIERZGA Adam Jozef,POLAND,,28,38
377,10006875159,GROSU Eduard-Michael,ROMANIA,,20,38
378,10002694055,HONIG Reinier,NETHERLANDS,LAN,29,38
379,10006089257,CESARO Roberto,ITALY,MKT,26,38
380,10005843323,CUSIN Rémi,FRANCE,TT1,26,38
381,10006134626,ROWSELL Erick,GREAT BRITAIN,EDR,22,38
382,10005853730,KULYK Andrii,UKRAINE,KLS,23,38
383,10003290910,VALLEJO DOMINGUEZ Angel,SPAIN,,31,37
384,10007167876,WEISS Martin,AUSTRIA,TIR,21,37
385,10002901189,MARTIAS Rony,FRANCE,SAU,32,37
386,10008622876,LAMPAERT Yves,BELGIUM,,21,36
387,10006003371,ASSELMAN Jesper,NETHERLANDS,TTR,22,36
388,10006271133,BARTKIEWICZ Andrzej,POLAND,WIB,21,36
389,10006067130,TOPCHANYUK Artem,UKRAINE,SPT,23,36
390,10007511117,VOSEKALNS Andris,LATVIA,RBD,20,36
391,10005390958,BISOLTI Alessandro,ITALY,IDE,27,36
392,10003234528,GUAY Julien,FRANCE,RLM,26,36
393,10003088422,SOBRINO MARTINEZ Joaquin,SPAIN,SPT,30,36
394,10009065945,BABLIDZE Irakli,GEORGIA,,19,35
395,10004622234,RAKE Christer,NORWAY,TJM,25,35
396,10006656608,YATSEVICH Kirill,RUSSIAN FEDERATION,,20,35
397,10002092352,SAPA Marcin,POLAND,BDC,36,35
398,10005989429,SHMALKO Viktor,RUSSIAN FEDERATION,,22,35
399,10004503915,PAPOK Siarhei,BELARUS,,24,35
400,10005925872,SCHÖFFMANN Martin,AUSTRIA,WSA,25,35
401,10005879190,MALLE Guillaume,FRANCE,VRU,27,35
402,10061378853,DUEÑAS Moisés,SPAIN,,31,35
403,10001190353,DE WAELE Bert,BELGIUM,LAN,37,35
404,10006320340,VASYLIEV Maksym,UKRAINE,ISD,22,35
405,10004694073,BENEDETTI Cesare,ITALY,APP,25,"34,2"
406,10005457747,BOEM Nicola,ITALY,,23,34
407,10005365191,BEKMANIS Indulis,LATVIA,RBD,23,34
408,10006897892,KASTRANTAS Charalampos,GREECE,TKT,21,34
