Rank,UCI ID,Name,Nationality,Team Code,Age,Points,
318,10010023316,HALVORSEN Kristoffer,NORWAY,TJI,21,244,
319,10008834660,KUSS Sepp,UNITED STATES OF AMERICA,RLY,23,243,
320,10009766971,MADSEN Martin Toft,DENMARK,ABB,32,243,
321,10003223919,ROUX Anthony,FRANCE,FDJ,30,242,
322,10008629142,STRAKHOV Dmitrii,RUSSIAN FEDERATION,LOK,22,242,
323,10008855171,KUDUS Merhawi,ERITREA,DDD,23,241,
324,10002510563,KAŇKOVSKÝ Alois,CZECH REPUBLIC,ELA,34,240,
325,10008706136,JAKOBSEN Fabio,NETHERLANDS,SEG,21,240,
326,10003306569,POLIVODA Oleksandr,UKRAINE,KLS,30,240,
327,10014827543,PHILIPSEN Jasper,BELGIUM,,19,238,
328,10001426890,NIEMIEC Przemyslaw,POLAND,UAD,37,238,
329,10003073769,BOUET Maxime,FRANCE,TFO,31,236,
330,10005457646,OLIVEIRA Nelson,PORTUGAL,MOV,28,236,
331,10003073062,BELLETTI Manuel,ITALY,WIL,32,235,
332,10009709175,CICCONE Giulio,ITALY,BRD,23,234,
333,10009774146,KÄMNA Lennard,GERMANY,SUN,21,233,
334,10007061782,LAMMERTINK Maurits,NETHERLANDS,KAT,27,231,
335,10005390352,PELUCCHI Matteo,ITALY,BOH,28,230,
336,10004599602,STETINA Peter,UNITED STATES OF AMERICA,TFS,30,229,
337,10005711462,VAN GENECHTEN Jonas,BELGIUM,COF,31,228,
338,10006003876,CECCHIN Alberto,ITALY,WIL,28,228,
339,10005818162,BRAMBILLA Gianluca,ITALY,QST,30,227,
340,10004738533,LAGKUTI Sergiy,UKRAINE,KLS,32,227,
341,10007518692,CONTI Valerio,ITALY,UAD,24,225,
342,10003080439,RUIJGH Rob,NETHERLANDS,TIS,31,225,
343,10007738055,ACKERMANN Pascal,GERMANY,BOH,23,225,
344,10006003270,WARBASSE Lawrence,UNITED STATES OF AMERICA,ABS,27,225,
345,10010992508,MIRZA AL-HAMMADI Yousif,UNITED ARAB EMIRATES,UAD,29,224,75
346,10011415163,LE CUNFF Kevin,FRANCE,AUB,29,224,
347,10009369776,VERMEULEN Emiel,BELGIUM,RLM,24,224,
348,10004620517,PERICHON Pierre Luc,FRANCE,TFO,30,224,
349,10008697345,OKUBAMARIAM Tesfom,ERITREA,IPC,26,223,
350,10007500710,BONIFAZIO Niccolò,ITALY,TBM,24,222,
351,10006118862,BOSWELL Ian,UNITED STATES OF AMERICA,SKY,26,222,
352,10007512026,VERONA QUINTANILLA Carlos,SPAIN,ORS,25,221,
353,10006070867,LE BON Johan,FRANCE,FDJ,27,221,
354,10008635408,MULLEN Ryan,IRELAND,CDT,23,220,
355,10079277676,MOAZAMI GODARZI Arvin,ISLAMIC REPUBLIC OF IRAN,PKY,27,220,
356,10002928471,PARDILLA BELLON Sergio,SPAIN,CJR,33,219,
357,10007776451,LEVASSEUR Jordan,FRANCE,ADT,22,219,
358,10006737238,PRADES REVERTER Eduard,SPAIN,CJR,30,218,
359,10009743733,ASGREEN Kasper,DENMARK,TVC,22,218,
360,10003349312,BODNAR Maciej,POLAND,BOH,32,217,
361,10006656204,VERMEERSCH Gianni,BELGIUM,BEC,25,216,
362,10008697648,TIVANI PEREZ German Nicolas,ARGENTINA,UNI,22,215,
363,10003097314,GAUDIN Damien,FRANCE,ADT,31,215,
364,10006668833,KRIEGER Alexander,GERMANY,LPC,26,215,
365,10006003371,ASSELMAN Jesper,NETHERLANDS,RNL,27,214,
366,10006142003,DOMAGALSKI Karol,POLAND,ONE,28,214,
367,10010164267,FERASSE Thibault,FRANCE,ADT,23,214,
368,10007864155,DEBESAY Mekseb,ERITREA,DDD,26,213,
369,10006916080,ATAPUMA HURTADO Jhon Darwin,COLOMBIA,UAD,29,213,
370,10008856888,MCCABE Travis,UNITED STATES OF AMERICA,UHC,28,212,
371,10009793950,DUNBAR Edward,IRELAND,AHB,21,211,
372,10006655901,SÜTTERLIN Jasha,GERMANY,MOV,25,210,
373,10006736228,MENUT David,FRANCE,AUB,25,209,
374,10006903754,BERTAZZO Liam,ITALY,WIL,25,209,
375,10001661108,POZZATO Filippo,ITALY,WIL,36,208,
376,10007518591,FORMOLO Davide,ITALY,CDT,25,208,
377,10008692594,RIABUSHENKO Aleksandr,BELARUS,,22,208,
378,10004313147,WYNANTS Maarten,BELGIUM,TLJ,35,203,
379,10008670871,EG Niklas,DENMARK,TVC,22,203,
380,10006878189,DAVIDENOK Ilya,KAZAKHSTAN,TST,25,203,
381,10002839151,MARTENS Paul,GERMANY,TLJ,34,201,
382,10049191512,AGUIRRE INFANTE Jose Alfredo,MEXICO,CAS,23,201,
383,10004640725,ZOIDL Riccardo,AUSTRIA,RSW,29,200,
384,10007526271,VLIEGEN Loïc,BELGIUM,BMC,24,198,
385,10007461708,BOGDANOVICS Maris,LATVIA,RBR,26,198,
386,10009782129,LAKE Sean,AUSTRALIA,IWS,26,198,
387,10007219309,BIZHIGITOV Zhandos,KAZAKHSTAN,AST,26,197,
388,10008671275,EISENHART Taylor,UNITED STATES OF AMERICA,HCR,23,196,
389,10008722607,POLITT Nils,GERMANY,KAT,23,195,
390,10003326070,CRAWFORD Jai,AUSTRALIA,KIN,34,195,
391,10007153631,FLØTTEN Audun Brekke,NORWAY,UXT,27,195,
